"|","|__@type","|__asOfDate","|__drawdown","|__level","|__nineMonth","|__oneMonth","|__oneYear","|__oneYearAnnualized","|__oneYearBetas__SNP500","|__oneYearRisk","|__oneYearRiskAnnualized","|__oneYearSharpeRatio","|__placeholder","|__sinceStartDate","|__sinceStartDateAnnualized","|__sinceStartDateBetas__SNP500","|__sinceStartDateRisk","|__sinceStartDateRiskAnnualized","|__sinceStartDateSharpeRatio","|__sixMonth","|__threeMonth","|__twoYear","|__twoYearAnnualized","|__twoYearBetas__SNP500","|__twoYearRisk","|__twoYearRiskAnnualized","|__twoYearSharpeRatio","|__yearToDate"
"20141231","_bws.portfolio.returns.ReturnData","20141231","0","1","","0","","","","","","","True","0","0","","","","","","","","","","","","",""
"20150131","_bws.portfolio.returns.ReturnData","20150131","0","1.0154248509001464","","0.015424850900146392","","","","","","","False","0.015424850900146392","0.1974912285519197","","","","","","","","","","","","",""
"20150228","_bws.portfolio.returns.ReturnData","20150228","0","1.060787109350351","","0.04467318128957755","","","","","","","False","0.060787109350350886","0.4406137201501594","","","","","","","","","","","","",""
"20150331","_bws.portfolio.returns.ReturnData","20150331","0.018623453904111287","1.0410315895172892","","-0.018623453904111287","","","","","","","False","0.04103158951728916","0.17713385289141437","","","","","","","","","","","","",""
"20150430","_bws.portfolio.returns.ReturnData","20150430","0.03507164735708099","1.023583557930278","","-0.016760328661209495","","","","","","","False","0.023583557930278068","0.07347443847455848","","","","","","","","","","","","",""
"20150531","_bws.portfolio.returns.ReturnData","20150531","0.04538388774087772","1.0126444662626244","","-0.01068705293564202","","","","","","","False","0.012644466262624386","0.0308387759514952","","","","","","","","","","","","",""
"20150630","_bws.portfolio.returns.ReturnData","20150630","0.06619359093277156","0.9905698013672566","","-0.02179902782349565","","","","","","","False","-0.009430198632743464","-0.018925551865846102","","","","","","","","","","","","",""
"20150731","_bws.portfolio.returns.ReturnData","20150731","0","1.1905810571423363","","0.20191535770524177","","","","","","","False","0.19058105714233642","0.3503118313222757","","","","","","","","","","","","",""
"20150831","_bws.portfolio.returns.ReturnData","20150831","0.011763437022804676","1.1765757318560983","","-0.011763437022804676","","","","","","","False","0.17657573185609832","0.276659666496583","","","","","","","","","","","","",""
"20150930","_bws.portfolio.returns.ReturnData","20150930","0.027476207021810865","1.1578684055400472","","-0.015899806369913456","","","","","","","False","0.15786840554004716","0.21650002458046158","","","","","","","","","","","","",""
"20151031","_bws.portfolio.returns.ReturnData","20151031","0","1.3527236458951277","","0.16828789819530232","","","","","","","False","0.3527236458951276","0.43726622414148575","","","","","","","","","","","","",""
"20151130","_bws.portfolio.returns.ReturnData","20151130","0","1.4132212980671728","","0.044722846647670254","","","","","","","False","0.41322129806717284","0.45932437568826745","","","","","","","","","","","","",""
"20151231","_bws.portfolio.returns.ReturnData","20151231","0","1.4442098799837704","0.3872872778562167","0.02192762163928605","0.4442098799837705","0.4442098799837705","1.2330679112617637","0.07506691444043051","0.26003941955650295","1.7071758595829412","False","0.4442098799837705","0.4442098799837706","1.2330679112617637","0.07506691444043051","0.26003941955650295","1.7071758595829414","0.4579587203146784","0.24730053352666564","","","","","","","0.4442098799837705"
"20160131","_bws.portfolio.returns.ReturnData","20160131","0.020990617719834483","1.413895022485823","","-0.020990617719834483","","","","","","","False","0.4138950224858231","0.3760749353856454","","","","","","","","","","","","",""
"20160229","_bws.portfolio.returns.ReturnData","20160229","0.0805266789867191","1.3279124545888692","","-0.06081255434776522","","","","","","","False","0.32791245458886925","0.2765278664605202","","","","","","","","","","","","",""
